name,smiles
BB-0000,O=S1(=O)NCc2cc(Br)ccc2N1
BB-0001,CC(C)(C)OC(=O)N1CCCN(c2ccc(C(=O)O)cn2)CC1
BB-0002,CC1C=CC(=O)O1
BB-0003,COc1ccc(C(=O)O)c(C=O)c1
BB-0004,N#Cc1cc(C(F)(F)F)ccc1NCCN
BB-0005,COc1nc(CO)sc1C
BB-0006,CSc1ccc([N+](=O)[O-])cc1C(C)=O
BB-0007,Cc1nnc2cc(N)ccn12
BB-0008,O=c1[nH]sc2c(Br)cccc12
BB-0009,ClCCC(Cl)(Cl)Cl
BB-0010,O=C1c2ccccc2CC12CCOCC2
BB-0011,O=C(CC1COCCN1)c1ccccc1
BB-0012,CC(C)(C)c1cc2c(Cl)nccn2n1
BB-0013,N[C@@H](CCC(=O)O)C(=O)O
BB-0014,NC(=O)C1(c2ccncc2)CCCCC1
BB-0015,Cc1ccc(C(N)c2ccc(F)cc2Cl)cc1
BB-0016,Cc1nn(C)c(C(N)=O)c1N
BB-0017,Cc1noc(CO)c1Br
BB-0018,COC(=O)c1cc(CC(C)C)n[nH]1
BB-0019,CC(C)(C)OC(=O)NN(C(=O)OC(C)(C)C)C12CC(C(=O)O)(C1)C2
BB-0020,CCOC(=O)c1nc2c(Br)cccn2c1N
BB-0021,O=[N+]([O-])c1ccc2cc(Br)cnc2c1
BB-0022,COC(=O)CCNc1ncc(C)cc1Br
BB-0023,CC(C)(C)OC(=O)NCc1cn(C2CCCNC2)nn1
BB-0024,Cc1ccc(C2CCCCN2)cc1N
BB-0025,COC(=O)C(Cl)C(C)c1ccccc1
BB-0026,N#CI1OC(=O)c2ccccc21
BB-0027,O=C(O)c1ccc(Cl)cc1NCCCn1cccn1
BB-0028,CCn1c(N)c(C(=O)CCl)c(=O)[nH]c1=O
BB-0029,O=C(O)Cc1cccc(C(F)(F)F)n1
BB-0030,FC(F)(F)c1cnn(C2CCNCC2)c1
BB-0031,N#CCc1ccc(O)cc1
BB-0032,CC(C)(C)OC(=O)N1[C@@H](C=O)COC1(C)C
BB-0033,COC(=O)c1cc(-c2ccccc2Br)on1
BB-0034,Cc1cnc(NCCN)nc1
BB-0035,NCC12CCC(F)(CO1)C2
BB-0036,CCOC(=O)Cc1ccnc(C)c1
BB-0037,O=C(CC(=O)C(F)(F)F)c1ccc([N+](=O)[O-])cc1
BB-0038,O=Cc1cnc2c(Br)cc(F)cn12
BB-0039,Cc1ccc2c(c1)SCCC(=O)N2
BB-0040,CNCc1ccnc2c(Br)cccc12
BB-0041,Cc1ccc(Cl)cc1N1CCNCC1
BB-0042,NS(=O)(=O)c1cc(Br)c(F)c(C(=O)O)c1
BB-0043,COC(=O)C1(c2ccc(OC)cc2)CCNC1
BB-0044,CNCc1ccc(Br)cc1F
BB-0045,Oc1ccc2c(c1)OCO2
BB-0046,CCOC(=O)c1[nH]c(C=O)cc1C
BB-0047,O=Cc1cc2c(s1)CCOC2
BB-0048,c1cnn(C2CCCNC2)c1
BB-0049,COc1ccc(F)c(CCC(=O)O)c1
BB-0050,COc1ccc(C2CC(=O)NC(=O)C2)cc1Br
BB-0051,COc1cccc(C)c1C=O
BB-0052,Cc1oc(C)c(C(=O)Nc2cccc(OCC#N)c2)c1C
BB-0053,COC(=O)CC1CCCC(O)C1
BB-0054,CNC1CCN(c2cc(C)ncn2)CC1
BB-0055,CCCn1c(N)c(N2CCOCC2)c(=O)[nH]c1=O
BB-0056,FC(F)n1ccnc1Br
BB-0057,CC(=O)CC(=O)Nc1ccccc1C
BB-0058,COc1cc(C)c(O)c(Cl)c1
BB-0059,Cc1n[nH]c(C)c1NC(=O)C(C)CN
BB-0060,COc1cccc(N2C(=O)C(=Cc3ccc(C(C)C)cc3)NC2=S)c1
BB-0061,O=Cc1cc(-c2ccc(Cl)cc2)on1
BB-0062,Oc1c(Br)cnc2ccsc12
BB-0063,Nc1ccc(C(=O)O)cc1CCCC(=O)O
BB-0064,COc1ccc(F)cc1CCC(=O)O
BB-0065,NC1CCCN(c2ccc(Cl)c(Cl)c2)C1
BB-0066,C1CCn2c(nnc2C2CCNC2)C1
BB-0067,Cc1nn(-c2ccccc2Cl)c2sc(C(=O)O)cc12
BB-0068,O=[N+]([O-])c1cc(Br)c2c(c1)CCO2
BB-0069,C[C@H](NC(=O)c1ccco1)C(=O)O
BB-0070,Cc1nn(C)c2nc(Cl)c(C=O)cc12
BB-0071,CC(C)(O)c1cc(Cl)cc(Br)c1
BB-0072,COc1ccnc2nc(Cl)ccc12
BB-0073,CN(CC1CCOC1)c1ncncc1Cl
BB-0074,COC(=O)c1cc2c([nH]1)C(=O)CCC2
BB-0075,COC(=O)C1(C#N)CC2(COC2)C1
BB-0076,C=CC(=O)c1c(F)cccc1Cl
BB-0077,N#Cc1ccc(OCC(F)(F)F)cc1
BB-0078,OC[C@@H](O)CN1CCN(c2ccccc2)CC1
BB-0079,S=C(Cl)Oc1ccc(Br)cc1
BB-0080,COCCCC(N)Cc1ccccc1
BB-0081,Cc1cc(N)n(-c2ccc(Cl)cc2)n1
BB-0082,Oc1ccc(OCc2ccccc2)cc1F
BB-0083,COC(=O)N1CCC(=O)C1(C)C
BB-0084,COC(=O)c1cn(C2CCNC2)nn1
BB-0085,Nc1ccccc1NC(=O)c1ccncc1
BB-0086,C1CN(c2nsc(C3CC3)n2)CCN1
BB-0087,O=C1CCN(Cc2cccs2)CC1
BB-0088,CS(=O)(=O)CC1CCC1C(=O)O
BB-0089,CC1CNCC2(C1)OC(=O)Nc1ccc(Cl)c(F)c12
BB-0090,COC(=O)c1cc(Br)nc2ccccc12
BB-0091,O=c1c2ccccc2[nH]c2cc(O)cc(O)c12
BB-0092,O=[N+]([O-])c1ccc2[nH]ncc2c1
BB-0093,O=[N+]([O-])c1cnc2ccc(C3CCC3)cc2c1Cl
BB-0094,Cc1cc(C)c([N+](=O)[O-])cc1CBr
BB-0095,CNc1cc(Br)ccc1N
BB-0096,COc1ccc(C(=O)CN)cc1Cl
BB-0097,CNCc1cc(OC)ccc1Br
BB-0098,O=C(O)C1CNCC2(CCOCC2)O1
BB-0099,BrCc1ccsc1Br
BB-0100,O=C(O)CN1Cc2c(cnn2-c2ccccc2)C1=O
BB-0101,CCCCO/C=C/C(=O)C(F)(F)F
BB-0102,CC(=O)C12CC(c3ccccc3)(C1)C2(F)F
BB-0103,CCC(C)Oc1ccc(Br)cc1
BB-0104,CC(C)(C)OC(=O)NC(CCCC1OCCO1)C(=O)O
BB-0105,Cn1cc(C=O)c(C2CCC2)n1
BB-0106,COc1ccc([C@@H]2CN(C(C)(C)C)C[C@H]2C(=O)O)cc1
BB-0107,CCOC(=O)C1NCCc2cc(O)ccc21
BB-0108,Cc1cc(F)sc1C(=O)O
BB-0109,CNCC(=O)c1c[nH]c2ccc(F)cc12
BB-0110,O=C(c1cccc(Br)c1)C(F)F
BB-0111,Cc1ccc(C2(C#N)CCOCC2)cc1
BB-0112,Cn1nc(N)cc1C1CC1
BB-0113,CCCCCC(=O)c1c(O)cc(O)cc1O
BB-0114,COC(=O)CC1CNCc2ccccc21
BB-0115,Cc1c(C(F)(F)F)nc2ccccc2c1O
BB-0116,Cc1nc(C(N)c2ccc(F)cc2)no1
BB-0117,O=C1CCC(n2nnc3cccc(F)c3c2=O)C(=O)N1
BB-0118,NCC1(c2cccc(Br)c2)CCC1
BB-0119,CCCn1c(N)c(C(=O)CCl)c(=O)[nH]c1=O
BB-0120,CCOC(=O)c1[nH]c2c(c1C)C(=O)CC(C)(C)C2
BB-0121,Cc1cc(C)cc(C(N)CO)c1
BB-0122,CCOC(=O)c1c(C)nn(C)c1CCl
BB-0123,COC(=O)C1=NOC(CBr)C1
BB-0124,CC(=O)Nc1cc(C(=O)CCl)ccc1O
BB-0125,CC(N)Cc1c(F)cccc1F
BB-0126,CC1(C)CNc2cnccc21
BB-0127,Cc1nc2nc(S)nn2c(C)c1CC(=O)O
BB-0128,Cc1cc(CN)ccc1N
BB-0129,C=CCn1c(S)nnc1-c1ccncc1
BB-0130,CCOC(=O)N1CCCC(C(=O)O)C1
