name,token_ids,reaction_ids,product_smiles,entropy,sampling_mode,first_building_block,second_building_block,first_building_block_prior_uses,second_building_block_prior_uses,score
BB-1711 BB-0362,"[1711, 362]",[125],CC(C(=O)O)(c1ncccc1C(=O)O)N(Cc1ccccc1[N+](=O)[O-])C1CC1,,random_balanced,BB-1711,BB-0362,0,0,0.41832711337820955
BB-1785 BB-1280,"[1785, 1280]",[126],COC[C@@H](C)OC(=O)c1cccc(-c2ccc(CN)cc2)c1,,random_balanced,BB-1785,BB-1280,0,0,0.5922492766733445
BB-1088 BB-0143,"[1088, 143]",[125],Cc1ccc(C(OC2CCCN(C(=O)OC(C)(C)C)CCC2)(C(=O)O)C(F)(F)F)cc1,,random_balanced,BB-1088,BB-0143,0,0,0.4961610343308508
BB-1202 BB-1783,"[1202, 1783]",[125],CCC1(C(=O)OC2(C(=O)O)CC3(CC4CCCC(C3)N4C(=O)OC(C)(C)C)C2)COC1,,random_balanced,BB-1202,BB-1783,0,0,0.5172912035847609
BB-1882 BB-1197,"[1882, 1197]",[78],CC(C)(NC(=O)c1ccc2c(c1)[nH]c(=O)n2C1CC1)c1cn(CC2CC2)nn1,,random_balanced,BB-1882,BB-1197,0,0,0.476845234767632
BB-0286 BB-0154,"[286, 154]",[108],COC(=O)C1CCN(C(=O)CC(C)N[C@@H]2CCCO[C@H]2c2ccc(C)cc2)CC1,,random_balanced,BB-0286,BB-0154,0,0,0.5841239478433384
BB-0492 BB-0725,"[492, 725]",[79],COc1ccc(C(=O)C2CCCN2c2cc(OC)c(O)c(C(C)=O)c2)cc1,,random_balanced,BB-0492,BB-0725,0,0,0.718716508710752
BB-1068 BB-0249,"[1068, 249]",[30],CNC(=O)CCC(NC(=O)C(=O)N1C[C@@H](C(=O)NC)[C@H](c2cnn(C)c2)C1)c1ccccc1,,random_balanced,BB-1068,BB-0249,0,0,0.2654231766695051
BB-0703 BB-0882,"[703, 882]",[49],CCCc1ccc(-n2cnc3c(Nc4cnc(OC(C)C)c(Cl)c4)ncnc32)c(C#N)c1,,random_balanced,BB-0703,BB-0882,0,0,0.0882905387793584
BB-1433 BB-1438,"[1433, 1438]",[44],CC1CCC2(CN1C(CC(=O)O)c1ccc(C(N)=O)o1)OCc1ccccc12,,random_balanced,BB-1433,BB-1438,0,0,0.7126796221335294
BB-0546 BB-1653,"[546, 1653]",[70],COCc1cc(C(C)=CC(=O)N2CCN(C)C2=O)ccc1OC,,random_balanced,BB-0546,BB-1653,0,0,0.7102549310590891
BB-0783 BB-1979,"[783, 1979]",[79],NCCN(c1cc([N+](=O)[O-])c(C=O)cc1F)c1ncc(C(F)(F)F)cc1Cl,,random_balanced,BB-0783,BB-1979,0,0,0.6098282909496293
BB-1069 BB-1961,"[1069, 1961]",[66],Cc1ccc(C(C)NC(=O)CC2(O)CCCC2=Cc2cccc([N+](=O)[O-])c2)cc1C,,random_balanced,BB-1069,BB-1961,0,0,0.4875783214839913
BB-1878 BB-1695,"[1878, 1695]",[15],Cc1cc2c(c(Sc3ccc([C@H]4CCN(C(=O)OCC5c6ccccc6-c6ccccc65)[C@@H]4C(=O)O)cc3)c1)CCNC2,,random_balanced,BB-1878,BB-1695,0,0,0.11360229195954039
BB-1384 BB-1767,"[1384, 1767]",[5],CC1CNC(=O)c2cc(N3CCC(c4cccs4)CC3)cn21,,random_balanced,BB-1384,BB-1767,0,0,0.6070204342522926
BB-1830 BB-0515,"[1830, 515]",[103],O=C(Nc1nccc2cnccc12)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,,random_balanced,BB-1830,BB-0515,0,0,0.2657710122714494
BB-1057 BB-1185,"[1057, 1185]",[23],COc1c(F)cc(F)cc1COC(=O)Cn1c(C)c(Br)c2ccccc21,,random_balanced,BB-1057,BB-1185,0,0,0.628059162566744
BB-0107 BB-1987,"[107, 1987]",[146],CCOC(=O)C1c2ccc(O)cc2CCN1c1cncc(C2(C#N)CCC2)c1,,random_balanced,BB-0107,BB-1987,0,0,0.7627626634547988
BB-0003 BB-1466,"[3, 1466]",[66],COc1ccc(C(=O)O)c(C(O)c2cccc(C3(O)CCC(=O)CC3)c2)c1,,random_balanced,BB-0003,BB-1466,0,0,0.769162960468067
BB-1946 BB-1095,"[1946, 1095]",[41],CC(C)(C)OC(=O)N1CCC(C(=O)O)(c2ccc(OCc3ccc(Oc4ccccc4F)cc3)cc2)C1,,random_balanced,BB-1946,BB-1095,0,0,0.038233310714027
BB-1936 BB-1659,"[1936, 1659]",[41],COc1cc(Oc2cc(C(C)C)c(OCC3CO3)cc2C)c(C(C)=O)cc1Cl,,random_balanced,BB-1936,BB-1659,0,0,0.7019737554738289
BB-1330 BB-0597,"[1330, 597]",[66],CC(O)(c1ccc2c(c1)C1(CC2)COCOC1)c1nc2c(s1)CCC2,,random_balanced,BB-1330,BB-0597,0,0,0.3684047324934864
BB-1921 BB-1211,"[1921, 1211]",[28],COc1cc(C)c(Cl)cc1NC(=O)Nc1ccc(OC2CCN(C)CC2)nc1,,random_balanced,BB-1921,BB-1211,0,0,0.05705648604588832
BB-0015 BB-0543,"[15, 543]",[89],COC(=O)C1CC(c2ccc(Sc3cc(F)ccc3C(N)c3ccc(C)cc3)cc2)C1,,random_balanced,BB-0015,BB-0543,0,0,0.2589806754017296
BB-1743 BB-0269,"[1743, 269]",[5],Cc1ccc(C(C)N(O)c2ccc3c(c2)C(=O)C(F)=CCC3)cc1,,random_balanced,BB-1743,BB-0269,0,0,0.6408529246805909
BB-0022 BB-0057,"[22, 57]",[125],COC(=O)CCN(c1ncc(C)cc1Br)C(C)(CC(=O)Nc1ccccc1C)C(=O)O,,random_balanced,BB-0022,BB-0057,0,0,0.5352654058062191
BB-1187 BB-1489,"[1187, 1489]",[4],CC1(C)COC(CC(=O)N2CCCC(F)(F)C23CCOCC3)C1,,random_balanced,BB-1187,BB-1489,0,0,0.4058074789033717
BB-1796 BB-0040,"[1796, 40]",[63],CNCc1ccnc2c(CC3CN(c4ccc(Br)cc4)C(=O)O3)cccc12,,random_balanced,BB-1796,BB-0040,0,0,0.6598312720404204
BB-0876 BB-1874,"[876, 1874]",[70],COc1ccc(-c2nc(C=Cc3cc(C)c(C)cn3)cs2)cc1OC,,random_balanced,BB-0876,BB-1874,0,0,0.115994114664875
BB-0688 BB-0379,"[688, 379]",[4],Cc1ccccc1-c1cc(NC(=O)c2ccc3c(c2)C(=O)CCN3)n(Cc2ccccc2)n1,,random_balanced,BB-0688,BB-0379,0,0,0.5238368108776824
BB-0658 BB-1074,"[658, 1074]",[15],Cc1nc(Sc2c(Br)cc(F)c3cnccc23)ccc1B(O)O,,random_balanced,BB-0658,BB-1074,0,0,0.29023148359993467
BB-1106 BB-1860,"[1106, 1860]",[15],CC(C)(C)OC(=O)N1CCC(c2ccc(Sc3ccc(OCC(N)=O)c(Br)c3)cc2F)CC1,,random_balanced,BB-1106,BB-1860,0,0,0.11948420312850495
BB-1810 BB-0569,"[1810, 569]",[5],CN1CCC(N(c2ccc(Br)cc2)c2ccc(Cl)c3c2CCNC3)CC1,,random_balanced,BB-1810,BB-0569,0,0,0.42262163769828476
BB-0836 BB-0673,"[836, 673]",[68],CC(C)(C)OC(=O)NC(CCCCCC#Cc1ccccc1C1(O)CCNCC1)C(=O)O,,random_balanced,BB-0836,BB-0673,0,0,0.24736757459633685
BB-1966 BB-0919,"[1966, 919]",[5],CN(C(=O)OC(C)(C)C)[C@H]1CCCN(c2nc3ccccc3cc2N)C1,,random_balanced,BB-1966,BB-0919,0,0,0.37179664785754496
BB-0176 BB-1388,"[176, 1388]",[146],Cc1cc(Nc2ccc(Cl)cc2OCc2cccc(C(=O)O)c2)cc(C)c1F,,random_balanced,BB-0176,BB-1388,0,0,0.4654648967898323
BB-0995 BB-0401,"[995, 401]",[79],COC(=O)C1CC(N2CCCC(c3ncc(C(F)(F)F)[nH]3)C2)=NO1,,random_balanced,BB-0995,BB-0401,0,0,0.6908374101061813
BB-1019 BB-0123,"[1019, 123]",[66],COC(=O)C1=NOC(CC(C)(O)c2c(C)[nH]c(-c3ccco3)nc2=O)C1,,random_balanced,BB-1019,BB-0123,0,0,0.7450800772494923
BB-0072 BB-0179,"[72, 179]",[116],COc1ccnc2nc(Sc3nncn3-c3cccc(Cl)c3)ccc12,,random_balanced,BB-0072,BB-0179,0,0,0.4239013764958357
BB-1782 BB-1329,"[1782, 1329]",[5],O=C(O)C1CC1(F)NC(C1CC1)C1(CO)CCCO1,,random_balanced,BB-1782,BB-1329,0,0,0.150046491911899
BB-0389 BB-0165,"[389, 165]",[105],O=C(NCC(F)(F)C1CC1)C(=O)N1CCN(c2ccc(Br)cc2C(F)(F)F)CC1,,random_balanced,BB-0389,BB-0165,0,0,0.47040873724501053
BB-1812 BB-1573,"[1812, 1573]",[79],COc1[nH]nc(C(F)(F)F)c1N1CCC(C(O)c2ccnn2C)CC1,,random_balanced,BB-1812,BB-1573,0,0,0.4431571744245733
BB-0708 BB-1042,"[708, 1042]",[37],N#Cc1c(OCCCO)n[nH]c1NC(=O)C1CC2(CCCCC2)CC1=O,,random_balanced,BB-0708,BB-1042,0,0,0.3223427100413934
BB-0508 BB-1423,"[508, 1423]",[49],CC(C)(C)C(Nc1ncnc2c1ncn2C(C(=O)O)c1ccc(C(F)(F)F)cc1)c1cccc(C(=O)O)c1,,random_balanced,BB-0508,BB-1423,0,0,0.4441117006913187
BB-1381 BB-0521,"[1381, 521]",[146],O=[N+]([O-])c1ccn(CC2CCN(c3c(CCl)ccnc3F)CC2)n1,,random_balanced,BB-1381,BB-0521,0,0,0.5940367514362503
BB-1871 BB-0920,"[1871, 920]",[71],COc1cc(N[C@@](C)(CO)c2ccccc2)c2c(c1)C(=O)CCC2,,random_balanced,BB-1871,BB-0920,0,0,0.6509076930030737
