name,smiles_original,smiles_boc,anchor_origin,primary_match_count,boc_product_count
BB-0004,N#Cc1cc(C(F)(F)F)ccc1NCCN,CC(C)(C)OC(=O)NCCNc1ccc(C(F)(F)F)cc1C#N,existing_2000_single_primary_amine,1,1
BB-0007,Cc1nnc2cc(N)ccn12,Cc1nnc2cc(NC(=O)OC(C)(C)C)ccn12,existing_2000_single_primary_amine,1,1
BB-0013,N[C@@H](CCC(=O)O)C(=O)O,CC(C)(C)OC(=O)N[C@@H](CCC(=O)O)C(=O)O,existing_2000_single_primary_amine,1,1
BB-0015,Cc1ccc(C(N)c2ccc(F)cc2Cl)cc1,Cc1ccc(C(NC(=O)OC(C)(C)C)c2ccc(F)cc2Cl)cc1,existing_2000_single_primary_amine,1,1
BB-0016,Cc1nn(C)c(C(N)=O)c1N,Cc1nn(C)c(C(N)=O)c1NC(=O)OC(C)(C)C,existing_2000_single_primary_amine,1,1
BB-0020,CCOC(=O)c1nc2c(Br)cccn2c1N,CCOC(=O)c1nc2c(Br)cccn2c1NC(=O)OC(C)(C)C,existing_2000_single_primary_amine,1,1
BB-0024,Cc1ccc(C2CCCCN2)cc1N,Cc1ccc(C2CCCCN2)cc1NC(=O)OC(C)(C)C,existing_2000_single_primary_amine,1,1
BB-0028,CCn1c(N)c(C(=O)CCl)c(=O)[nH]c1=O,CCn1c(NC(=O)OC(C)(C)C)c(C(=O)CCl)c(=O)[nH]c1=O,existing_2000_single_primary_amine,1,1
BB-0034,Cc1cnc(NCCN)nc1,Cc1cnc(NCCNC(=O)OC(C)(C)C)nc1,existing_2000_single_primary_amine,1,1
BB-0035,NCC12CCC(F)(CO1)C2,CC(C)(C)OC(=O)NCC12CCC(F)(CO1)C2,existing_2000_single_primary_amine,1,1
BB-0042,NS(=O)(=O)c1cc(Br)c(F)c(C(=O)O)c1,CC(C)(C)OC(=O)NS(=O)(=O)c1cc(Br)c(F)c(C(=O)O)c1,existing_2000_single_primary_amine,1,1
BB-0055,CCCn1c(N)c(N2CCOCC2)c(=O)[nH]c1=O,CCCn1c(NC(=O)OC(C)(C)C)c(N2CCOCC2)c(=O)[nH]c1=O,existing_2000_single_primary_amine,1,1
