name,token_ids,reaction_ids,product_smiles,entropy,sampling_mode,first_building_block,second_building_block,first_building_block_prior_uses,second_building_block_prior_uses,score
BB-2102 BB-0403,"[2102, 403]",[96],CCO[C@@H]1CC(C(=O)O)(N(C(=O)OC(C)(C)C)c2c(C)cccc2SC)[C@H]1N1C(=O)CCC1=O,,random_balanced,BB-2102,BB-0403,0,0,0.42309673836988015
BB-2127 BB-1490,"[2127, 1490]",[74],CC(C)NCc1ccc(S(=O)(=O)c2cc(C(F)(F)F)nc(NC(=O)OC(C)(C)C)n2)cc1,,random_balanced,BB-2127,BB-1490,0,0,0.21087908308558345
BB-1567 BB-0178,"[1567, 178]",[28],CC(C)n1nc(C(=O)N(C)Cc2cc(Br)cc([N+](=O)[O-])c2)cc1NC(=O)OC(C)(C)C,,random_balanced,BB-1567,BB-0178,0,0,0.7024163130655242
BB-1707 BB-2007,"[1707, 2007]",[96],CC1CC(NC(=O)OC(C)(C)C)=CC(C(=O)O)(N(Cc2nnc3n2CCN(C(=O)OC(C)(C)C)C3)C(=O)OC(C)(C)C)C1,,random_balanced,BB-1707,BB-2007,0,0,0.3304579471923566
BB-2160 BB-1398,"[2160, 1398]",[96],CC(=O)N1CCc2ccc(N(C(=O)OC(C)(C)C)C(C)(C(=O)O)c3c[nH]c4ccc([N+](=O)[O-])cc34)cc21,,random_balanced,BB-2160,BB-1398,0,0,0.5279031103467257
BB-0428 BB-0217,"[428, 217]",[108],Cc1cc(N2CCC(NC(=O)OC(C)(C)C)CC2)n(-c2cccc(CNC(=O)OC(C)(C)C)c2)n1,,random_balanced,BB-0428,BB-0217,0,0,0.32854789326468686
BB-0722 BB-0909,"[722, 909]",[74],Cc1ccc(S(=O)(=O)c2cc(C#N)c3cn[nH]c3c2)nc1NC(=O)OC(C)(C)C,,random_balanced,BB-0722,BB-0909,0,0,0.5000686986299268
BB-1527 BB-0228,"[1527, 228]",[96],Cc1cc(Cl)c(O)c(C(C)(C(=O)O)N(C(=O)OC(C)(C)C)c2ccc(OCc3nnn[nH]3)cc2)c1,,random_balanced,BB-1527,BB-0228,0,0,0.5527965442750042
BB-1262 BB-1636,"[1262, 1636]",[68],Cc1cc(Sc2ccnc(NNC(=O)OC(C)(C)C)c2C)c2c(c1)C(=O)CCCO2,,random_balanced,BB-1262,BB-1636,0,0,0.6157832772437318
BB-1430 BB-0555,"[1430, 555]",[96],CCc1cc(=O)n2nc(N(C(=O)OC(C)(C)C)C(C)(C(=O)O)c3cc(Cl)sc3Cl)[nH]c2n1,,random_balanced,BB-1430,BB-0555,0,0,0.6116497362578156
BB-1950 BB-0949,"[1950, 949]",[96],CC(C)(C)OC(=O)N(c1ncc2c(c1C#N)CCOC2)C1(C(=O)O)CCc2c(C(=O)O)cccc21,,random_balanced,BB-1950,BB-0949,0,0,0.5608230614974582
BB-1617 BB-1457,"[1617, 1457]",[103],Cc1ccc(C23CC(C2)C(C(=O)C(C(=O)OC(C)(C)C)C(NC(=O)OC(C)(C)C)c2ccccc2)C3)cc1,,random_balanced,BB-1617,BB-1457,0,0,0.5410257852044816
BB-1527 BB-2092,"[1527, 2092]",[96],CC1=C(NC(=O)OC(C)(C)C)O/C(=C(/C)C#N)C1(C(=O)O)n1nnnc1COc1ccc(NC(=O)OC(C)(C)C)cc1,,random_balanced,BB-1527,BB-2092,1,0,0.06997054264030658
