name,token_ids,reaction_ids,product_smiles,entropy,score,warhead_product_smiles,warhead_status
BB-2002 BB-1025,"[2002, 1025]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCCC(n2cc(C)cn2)C1,5.070318698883057,0.8870313491509572,C/C=C/C(=O)Nc1onc(CC)c1N1CCCC(n2cc(C)cn2)C1,warhead_installed
BB-2002 BB-1453,"[2002, 1453]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C(C)(O)Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,5.070318698883057,0.8836934906926619,C/C=C/C(=O)Nc1onc(CC)c1C(C)(O)Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,warhead_installed
BB-2040 BB-0721,"[2040, 721]",[107],CC(=O)N1CC2CCC(O)(c3cc(NC(=O)OC(C)(C)C)c(C)[nH]c3=O)c3cccc1c32,5.089001655578613,0.8782660787052348,C/C=C/C(=O)Nc1cc(C2(O)CCC3CN(C(C)=O)c4cccc2c43)c(=O)[nH]c1C,warhead_installed
BB-2002 BB-1690,"[2002, 1690]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CC(C)(C)c2cc([N+](=O)[O-])ccc21,5.070318698883057,0.8731335472788423,C/C=C/C(=O)Nc1onc(CC)c1N1CC(C)(C)c2cc([N+](=O)[O-])ccc21,warhead_installed
BB-2002 BB-0840,"[2002, 840]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCC(C(=O)O)(c2cccc(Cl)c2)CC1,5.070318698883057,0.8690677475830942,C/C=C/C(=O)Nc1onc(CC)c1N1CCC(C(=O)O)(c2cccc(Cl)c2)CC1,warhead_installed
BB-2002 BB-0758,"[2002, 758]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCC2(CC1)OC(=O)c1ncccc12,5.070318698883057,0.8665348785876829,C/C=C/C(=O)Nc1onc(CC)c1N1CCC2(CC1)OC(=O)c1ncccc12,warhead_installed
BB-1968 BB-0074,"[1968, 74]",[107],COC(=O)c1cc2c([nH]1)C(O)(c1ccc(O)c(NC(=O)OC(C)(C)C)c1C)CCC2,5.096729278564453,0.8655253032542737,C/C=C/C(=O)Nc1c(O)ccc(C2(O)CCCc3cc(C(=O)OC)[nH]c32)c1C,warhead_installed
BB-2058 BB-0566,"[2058, 566]",[107],Cn1c(C(C)(O)c2ccc(NC(=O)OC(C)(C)C)c3c2CCCC3)nc2ccc(Cl)cc21,5.083586692810059,0.8649030718061965,C/C=C/C(=O)Nc1ccc(C(C)(O)c2nc3ccc(Cl)cc3n2C)c2c1CCCC2,warhead_installed
BB-2005 BB-1453,"[2005, 1453]",[47],CC(=O)Cn1c(-c2cn(C)c(=O)c(NC(=O)OC(C)(C)C)c2C)nc2c1c(=O)[nH]c(=O)n2C,5.092567443847656,0.8629893923335082,C/C=C/C(=O)Nc1c(C)c(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)=O)cn(C)c1=O,warhead_installed
BB-2002 BB-0233,"[2002, 233]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C(C)(O)c1[nH]c(CC(=O)O)c(C(=O)OC)c1C,5.070318698883057,0.8622999038816909,C/C=C/C(=O)Nc1onc(CC)c1C(C)(O)c1[nH]c(CC(=O)O)c(C(=O)OC)c1C,warhead_installed
